date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:41	1099/1099	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22b5d267a17145b37414d7d98610e47521%22	https://www.jameswilliams.design/robots.txt		(from )
20:47:41	46046/46046	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2015:17:34%20GMT	https://www.jameswilliams.design/	C:/My%20Web%20Sites/portfolio/www.jameswilliams.design/index.html	(from )
20:47:42	75408/75408	---M-Z	200	added ('OK')	text/css	etag:%221cc4f7160fe269b3ad2360821d6acc4b%22	https://cdn.prod.website-files.com/646bb626f5c2104941dd5a26/css/james-williams.webflow.0a75ae673.min.css	C:/My%20Web%20Sites/portfolio/cdn.prod.website-files.com/646bb626f5c2104941dd5a26/css/james-williams.webflow.0a75ae673.min.css	(from https://www.jameswilliams.design/)
20:47:42	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/portfolio/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.jameswilliams.design/)
20:47:42	3589/3589	---M--	200	added ('OK')	image/png	etag:%2292054a0b36ccd4fc2372397032156c43%22	https://cdn.prod.website-files.com/646bb626f5c2104941dd5a26/646e2e1a568e1412db98ac73_favicon.png	C:/My%20Web%20Sites/portfolio/cdn.prod.website-files.com/646bb626f5c2104941dd5a26/646e2e1a568e1412db98ac73_favicon.png	(from https://www.jameswilliams.design/)
20:47:43	87659/87659	---M--	200	added ('OK')	image/png	etag:%222c62a8bca70ad0e0621a26e06e54f5e9%22	https://cdn.prod.website-files.com/646bb626f5c2104941dd5a26/646e2e3d6ca538092d67f09e_favicon%202.png	C:/My%20Web%20Sites/portfolio/cdn.prod.website-files.com/646bb626f5c2104941dd5a26/646e2e3d6ca538092d67f09e_favicon%202.png	(from https://www.jameswilliams.design/)
20:47:43	18840/18840	---M--	200	added ('OK')	image/png	etag:%225707d5ad7357a1fac5693f639672bfe1%22	https://cdn.prod.website-files.com/646bb626f5c2104941dd5a26/6602c5e281eadab2db89dcd1_merc.png	C:/My%20Web%20Sites/portfolio/cdn.prod.website-files.com/646bb626f5c2104941dd5a26/6602c5e281eadab2db89dcd1_merc.png	(from https://www.jameswilliams.design/)
20:47:43	12909/12909	---M--	200	added ('OK')	image/png	etag:%228e4369763ac8631c23ffa09e93a516e8%22	https://cdn.prod.website-files.com/646bb626f5c2104941dd5a26/6602c52fe46d55419c8a05e7_Ocado%20logo.png	C:/My%20Web%20Sites/portfolio/cdn.prod.website-files.com/646bb626f5c2104941dd5a26/6602c52fe46d55419c8a05e7_Ocado%20logo.png	(from https://www.jameswilliams.design/)
20:47:43	28509/28509	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2015:17:36%20GMT	https://www.jameswilliams.design/enate	C:/My%20Web%20Sites/portfolio/www.jameswilliams.design/enate.html	(from https://www.jameswilliams.design/)
20:47:44	26892/26892	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2015:17:36%20GMT	https://www.jameswilliams.design/relo	C:/My%20Web%20Sites/portfolio/www.jameswilliams.design/relo.html	(from https://www.jameswilliams.design/)
20:47:44	28454/28454	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2015:17:36%20GMT	https://www.jameswilliams.design/ocado-mercedes-benz	C:/My%20Web%20Sites/portfolio/www.jameswilliams.design/ocado-mercedes-benz.html	(from https://www.jameswilliams.design/)
20:47:44	27381/27381	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2015:17:37%20GMT	https://www.jameswilliams.design/the-cornerstone-finance-group	C:/My%20Web%20Sites/portfolio/www.jameswilliams.design/the-cornerstone-finance-group.html	(from https://www.jameswilliams.design/)
